Latitude,Longitude
253356511,854244533
253356489,854244444
253356489,854244444
253356489,854244444
253356489,854244444
253356489,854244444
253356489,854244444
253357044,854244978
253357111,854245067
253356978,854245422
253357000,854245422
253357000,854245422
253356911,854245689
253356556,854246044
253356778,854244267
253356733,854243822
253356867,854243200
253356733,854242756
253356733,854242756
253356889,854242133
253356844,854241600
253356800,854241067
253356756,854240978
253356400,854241156
253356067,854240978
253355933,854240889
253355622,854240978
253355378,854240978
253355111,854240800
253354867,854240978
253354356,854241067
253353911,854241067
253353156,854241067
253352556,854240089
253352600,854239467
253352778,854239111
253352867,854238667
253352911,854238400
253352844,854238044
253352778,854237511
253352622,854237511
253352422,854238133
253352556,854237600
253352556,854237600
253352689,854238222
253353156,854237689
253353644,854237244
253353244,854237511
253353511,854237511
253353933,854237511
253354489,854237422
253354911,854237333
